,Month,Tesla Quarterly Revenue (Millions),IXIC,CL,Vehicle Sales
0,2009-04-30,8.981666666666667,1641.1476178850446,49.94952356247675,822746
1,2009-05-31,8.981666666666667,1726.0774963378906,59.2125,919295
2,2009-06-30,8.981666666666667,1826.9881980202415,69.69545537775213,850654
3,2009-07-31,15.175666666666666,1873.837735262784,64.29318237304688,991950
4,2009-08-31,15.175666666666666,1997.1552443731398,71.13857160295758,1254982
5,2009-09-30,15.175666666666666,2084.7471284412204,69.46809532528832,740394
6,2009-10-31,13.156666666666666,2122.8495594371448,75.823636488481,832953
7,2009-11-30,13.156666666666666,2143.532507324219,78.14500007629394,741826
8,2009-12-31,13.156666666666666,2220.59999778054,74.6031827059659,1013629
9,2010-01-31,6.937333333333334,2267.774722450658,78.40263165925678,693531
10,2010-02-28,6.937333333333334,2194.440005653783,76.45263190018504,774108
11,2010-03-31,6.937333333333334,2362.243896484375,81.28999992038892,1059134
12,2010-04-30,9.468333333333334,2475.720017206101,84.57523745582218,976345
13,2010-05-31,9.468333333333334,2319.2390014648436,74.11750144958496,1096910
14,2010-06-30,9.468333333333334,2235.2295365767045,75.40454587069425,978154
15,2010-07-31,10.413666666666666,2210.2738095238096,76.38285754975819,1045915
16,2010-08-31,10.413666666666666,2205.28134987571,76.66681705821644,993211
17,2010-09-30,10.413666666666666,2298.3462262834823,75.54857090541294,953837
18,2010-10-31,12.095333333333334,2441.2956891741073,81.97476232619513,940740
19,2010-11-30,12.095333333333334,2530.989548456101,84.31476157052177,863198
20,2010-12-31,12.095333333333334,2631.56044699929,89.23318169333719,1135333
21,2011-01-31,16.343333333333334,2717.2085205078124,89.57850036621093,815408
22,2011-02-28,16.343333333333334,2783.5357858758225,89.7431576377467,987265
23,2011-03-31,16.343333333333334,2722.2891368036685,102.98130466627038,1238252
24,2011-04-30,19.390333333333334,2797.07197265625,110.03850059509277,1149240
25,2011-05-31,19.390333333333334,2815.0757184709823,101.3566665649414,1052417
26,2011-06-30,19.390333333333334,2687.7627175071025,96.28863664106889,1044037
27,2011-07-31,19.221999999999998,2810.5755004882812,97.34049987792969,1055231
28,2011-08-31,19.221999999999998,2504.62303626019,86.34086973770805,1067895
29,2011-09-30,19.221999999999998,2524.1361955915177,85.60999915713356,1048158
30,2011-10-31,13.125,2594.7819010416665,86.42809513636998,1015016
